full_key,namespace,key,source_en,target_it
/SpeedAttacks,,SpeedAttacks,Attack Speed,Velocità d'attacco
/SpeedMovement,,SpeedMovement,Movement Speed,Velocità di movimento
/SpeedSpellCast,,SpeedSpellCast,Casting Speed,Velocità di lancio
/SpeedSprint,,SpeedSprint,Sprint Speed,Velocità di scatto
/SpeedWeapon,,SpeedWeapon,Weapon Speed,Velocità dell'arma
/SpeedWeapon_Fast,,SpeedWeapon_Fast,Fast,Veloce
/SpeedWeapon_Medium,,SpeedWeapon_Medium,Medium,Media
/SpeedWeapon_Slow,,SpeedWeapon_Slow,Slow,Lenta
/SpeedWeapon_VeryFast,,SpeedWeapon_VeryFast,Very Fast,Molto veloce
/SpeedWeapon_VerySlow,,SpeedWeapon_VerySlow,Very Slow,Molto lenta
/Spell_Explosion_Strength,,Spell_Explosion_Strength,Explosion Strength,Potenza esplosione
/Spell_Power,,Spell_Power,Spell Power,Potenza magica
/SprintCosts,,SprintCosts,Sprint Costs,Costo scatto
/Stamina,,Stamina,Stamina,Vigore
/StaminaCurrent,,StaminaCurrent,Current Stamina,Vigore attuale
/StaminaMax,,StaminaMax,Max Stamina,Vigore massimo
/StaminaReg,,StaminaReg,Stamina Regeneration,Rigenerazione vigore
/Stance,,Stance,Stance,Postura
/StanceCurrent,,StanceCurrent,Current Stance,Postura attuale
/StanceMax,,StanceMax,Max Stance,Postura massima
/StanceReg,,StanceReg,Stance Regeneration,Rigenerazione postura
/Stat_Angle,,Stat_Angle,°,°
/Stat_Decreased,,Stat_Decreased,reduced,ridotto
/Stat_Hours,,Stat_Hours,h,h
/Stat_Increased,,Stat_Increased,increased,aumentato
/Stat_Less,,Stat_Less,less,meno
/Stat_Minutes,,Stat_Minutes,m,m
/Stat_More,,Stat_More,more,più
/Stat_Multiplier,,Stat_Multiplier,x,x
/Stat_PerHour,,Stat_PerHour,/h,/h
/Stat_PerMinute,,Stat_PerMinute,/m,/m
/Stat_PerSecond,,Stat_PerSecond,/s,/s
/Stat_Percentage,,Stat_Percentage,%,%
/Stat_Second,,Stat_Second,s,s
/Stat_Value_Base,,Stat_Value_Base,Base,Base
/Stat_Value_Flat,,Stat_Value_Flat,Flat,Fisso
/Stat_Value_Mult,,Stat_Value_Mult,Multiplier,Moltiplicatore
/Stat_Value_Scaling,,Stat_Value_Scaling,Scaling,Scalamento
/SwitchMode_SkillTree_Body,,SwitchMode_SkillTree_Body,"You are about to switch the Skill Tree mode.
Confirming will discard pending choices.","Stai per cambiare modalità dell'Albero delle abilità.\nConfermando, le scelte in sospeso andranno perse."
/SwitchMode_SkillTree_Default_Header,,SwitchMode_SkillTree_Default_Header,Switch to Default Mode,Passa alla modalità predefinita
/SwitchMode_SkillTree_Respec_Header,,SwitchMode_SkillTree_Respec_Header,Switch to Respec Mode,Passa alla modalità riassegnazione
/Threshold_Knockback,,Threshold_Knockback,Knockback Threshold,Soglia respingimento
/Threshold_Stagger,,Threshold_Stagger,Stagger Threshold,Soglia barcollamento
/UI_Exp,,UI_Exp,Experience,Esperienza
/WeaponDamage,,WeaponDamage,Weapon Damage,Danno dell'arma
/XP_Current,,XP_Current,Current XP,PE attuali
/XP_Level_Current,,XP_Level_Current,Current Level,Livello attuale
/XP_Level_Max,,XP_Level_Max,Max Level,Livello massimo
/XP_Multiplier,,XP_Multiplier,XP Multiplier,Moltiplicatore PE
/XP_Reward,,XP_Reward,XP Reward,Ricompensa in PE
ST_DeathScreen/DS_Defeat,ST_DeathScreen,DS_Defeat,DEFEAT,SCONFITTA
ST_DeathScreen/DS_Load,ST_DeathScreen,DS_Load,Load Game,Carica partita
ST_DeathScreen/DS_LoadLast,ST_DeathScreen,DS_LoadLast,Load Last Save,Carica ultimo salvataggio
ST_DeathScreen/DS_Quit,ST_DeathScreen,DS_Quit,Quit to Menu,Esci al menu
ST_DeathScreen/DS_YouHaveDied,ST_DeathScreen,DS_YouHaveDied,You have died,Sei morto
ST_DeathScreen/ES_ThanksForPlayingEA,ST_DeathScreen,ES_ThanksForPlayingEA,Thanks for playing EA!,Grazie per aver giocato all'Accesso Anticipato!
ST_LoadAndSave/LS_DeleteSave,ST_LoadAndSave,LS_DeleteSave,Delete,Elimina
ST_LoadAndSave/LS_EmptySlot,ST_LoadAndSave,LS_EmptySlot,New save slot,Nuovo slot di salvataggio
ST_LoadAndSave/LS_FileLocation,ST_LoadAndSave,LS_FileLocation,Save File Location:,Posizione del file di salvataggio:
ST_LoadAndSave/LS_HeroLevel,ST_LoadAndSave,LS_HeroLevel,Level,Livello
ST_LoadAndSave/LS_LoadFromSlot,ST_LoadAndSave,LS_LoadFromSlot,Load Game from a selected slot,Carica partita dallo slot selezionato
ST_LoadAndSave/LS_LoadGame,ST_LoadAndSave,LS_LoadGame,Load,Carica
ST_LoadAndSave/LS_Location,ST_LoadAndSave,LS_Location,Location:,Luogo:
ST_LoadAndSave/LS_Notif_FailedSaving_Generic,ST_LoadAndSave,LS_Notif_FailedSaving_Generic,Failed Saving.,Salvataggio non riuscito.
ST_LoadAndSave/LS_Notif_FailedSaving_MissingSlot,ST_LoadAndSave,LS_Notif_FailedSaving_MissingSlot,Failed Saving. Save at specified slot does not exist.,Salvataggio non riuscito. Lo slot specificato non esiste.
ST_LoadAndSave/LS_Notif_FailedSaving_NoDiskSpace,ST_LoadAndSave,LS_Notif_FailedSaving_NoDiskSpace,Failed Saving. Not enough diskspace.,Salvataggio non riuscito. Spazio su disco insufficiente.
ST_LoadAndSave/LS_Notif_Ingame_Autosaving,ST_LoadAndSave,LS_Notif_Ingame_Autosaving,Saving...,Salvataggio in corso...
ST_LoadAndSave/LS_Notif_Pause_ManualSaving,ST_LoadAndSave,LS_Notif_Pause_ManualSaving,Saving...,Salvataggio in corso...
ST_LoadAndSave/LS_PlayedTime,ST_LoadAndSave,LS_PlayedTime,Played Time:,Tempo di gioco:
ST_LoadAndSave/LS_SaveDate,ST_LoadAndSave,LS_SaveDate,Save Date:,Data di salvataggio:
ST_LoadAndSave/LS_SaveGame,ST_LoadAndSave,LS_SaveGame,Save,Salva
ST_LoadAndSave/LS_SaveIntoSlot,ST_LoadAndSave,LS_SaveIntoSlot,Save Game into a selected slot,Salva la partita nello slot selezionato
ST_LoadAndSave/LS_SaveTime,ST_LoadAndSave,LS_SaveTime,Save Time:,Ora di salvataggio:
ST_LoadAndSave/LS_SaveType,ST_LoadAndSave,LS_SaveType,Save Type:,Tipo di salvataggio:
ST_LoadAndSave/LS_SaveType_Arena,ST_LoadAndSave,LS_SaveType_Arena,Arena Save,Salvataggio Arena
ST_LoadAndSave/LS_SaveType_Auto,ST_LoadAndSave,LS_SaveType_Auto,Automatic Save,Salvataggio automatico
ST_LoadAndSave/LS_SaveType_Manual,ST_LoadAndSave,LS_SaveType_Manual,Manual Save,Salvataggio manuale
ST_LoadAndSave/LS_UsedSlots,ST_LoadAndSave,LS_UsedSlots,Used Slots:,Slot occupati:
ST_LoadAndSave/LS_World,ST_LoadAndSave,LS_World,Map:,Mappa:
ST_MainMenu/AnyKeyToStart,ST_MainMenu,AnyKeyToStart,Press any key to start,Premi un tasto qualsiasi per iniziare
ST_MainMenu/Back,ST_MainMenu,Back,Back,Indietro
ST_MainMenu/Button_Select,ST_MainMenu,Button_Select,Select,Seleziona
ST_MainMenu/Continue,ST_MainMenu,Continue,CONTINUE,CONTINUA
ST_MainMenu/Credits,ST_MainMenu,Credits,CREDITS,RICONOSCIMENTI
ST_MainMenu/DebugMaps,ST_MainMenu,DebugMaps,DEBUG MAPS,MAPPE DI DEBUG
ST_MainMenu/LoadGame,ST_MainMenu,LoadGame,LOAD GAME,CARICA PARTITA
ST_MainMenu/NewGame,ST_MainMenu,NewGame,NEW GAME,NUOVA PARTITA
ST_MainMenu/Quit,ST_MainMenu,Quit,QUIT,ESCI
ST_MainMenu/QuitToMainMenu,ST_MainMenu,QuitToMainMenu,QUIT TO MENU,ESCI AL MENU
ST_MainMenu/Settings,ST_MainMenu,Settings,SETTINGS,IMPOSTAZIONI
ST_Rarity/Rarity_Common,ST_Rarity,Rarity_Common,Common,Comune
ST_Rarity/Rarity_Epic,ST_Rarity,Rarity_Epic,Epic,Epico
ST_Rarity/Rarity_Legendary,ST_Rarity,Rarity_Legendary,Legendary,Leggendario
ST_Rarity/Rarity_Rare,ST_Rarity,Rarity_Rare,Rare,Raro
ST_Rarity/Rarity_Uncommon,ST_Rarity,Rarity_Uncommon,Uncommon,Non comune
ST_Rarity/Rarity_Unique,ST_Rarity,Rarity_Unique,Unique,Unico
ST_GameSettings/AntiAliasingMethod_FXAA,ST_GameSettings,AntiAliasingMethod_FXAA,FXAA,FXAA
ST_GameSettings/AntiAliasingMethod_MSAA,ST_GameSettings,AntiAliasingMethod_MSAA,MSAA,MSAA
ST_GameSettings/AntiAliasingMethod_None,ST_GameSettings,AntiAliasingMethod_None,None,Nessuno
ST_GameSettings/AntiAliasingMethod_TAA,ST_GameSettings,AntiAliasingMethod_TAA,TAA,TAA
ST_GameSettings/AntiAliasingMethod_TSR,ST_GameSettings,AntiAliasingMethod_TSR,TSR,TSR
ST_GameSettings/Category_Accessibility_DisplayName,ST_GameSettings,Category_Accessibility_DisplayName,ACCESSIBILITY,ACCESSIBILITÀ
ST_GameSettings/Category_Audio_DisplayName,ST_GameSettings,Category_Audio_DisplayName,AUDIO,AUDIO
ST_GameSettings/Category_Controls_DisplayName,ST_GameSettings,Category_Controls_DisplayName,CONTROLS,COMANDI
ST_GameSettings/Category_Debug_DisplayName,ST_GameSettings,Category_Debug_DisplayName,DEBUG,DEBUG
ST_GameSettings/Category_Display_DisplayName,ST_GameSettings,Category_Display_DisplayName,DISPLAY,SCHERMO
ST_GameSettings/Category_Game_DisplayName,ST_GameSettings,Category_Game_DisplayName,GAME,GIOCO
ST_GameSettings/Category_Graphics_DisplayName,ST_GameSettings,Category_Graphics_DisplayName,GRAPHICS,GRAFICA
ST_GameSettings/CombatInputMode_Default,ST_GameSettings,CombatInputMode_Default,Default,Predefinito
ST_GameSettings/CombatInputMode_Legacy,ST_GameSettings,CombatInputMode_Legacy,Legacy,Classico
ST_GameSettings/DLSSMode_Balanced,ST_GameSettings,DLSSMode_Balanced,Balanced,Bilanciato
ST_GameSettings/DLSSMode_DLAA,ST_GameSettings,DLSSMode_DLAA,DLAA,DLAA
ST_GameSettings/DLSSMode_Performance,ST_GameSettings,DLSSMode_Performance,Performance,Prestazioni
ST_GameSettings/DLSSMode_Quality,ST_GameSettings,DLSSMode_Quality,Quality,Qualità
ST_GameSettings/DLSSMode_UltraPerformance,ST_GameSettings,DLSSMode_UltraPerformance,Ultra Performance,Prestazioni ultra
ST_GameSettings/DLSSMode_UltraQuality,ST_GameSettings,DLSSMode_UltraQuality,Ultra Quality,Qualità ultra
ST_GameSettings/FSRQualityMode_Balanced,ST_GameSettings,FSRQualityMode_Balanced,Balanced,Bilanciato
ST_GameSettings/FSRQualityMode_NativeAA,ST_GameSettings,FSRQualityMode_NativeAA,Native Anti-Aliasing,Anti-Aliasing nativo
ST_GameSettings/FSRQualityMode_Performance,ST_GameSettings,FSRQualityMode_Performance,Performance,Prestazioni
ST_GameSettings/FSRQualityMode_Quality,ST_GameSettings,FSRQualityMode_Quality,Quality,Qualità
ST_GameSettings/FSRQualityMode_UltraPerformance,ST_GameSettings,FSRQualityMode_UltraPerformance,Ultra Performance,Prestazioni ultra
ST_GameSettings/NvidiaReflexMode_Boost,ST_GameSettings,NvidiaReflexMode_Boost,On + Boost,Attivo + Boost
ST_GameSettings/NvidiaReflexMode_Enabled,ST_GameSettings,NvidiaReflexMode_Enabled,On,Attivo
ST_GameSettings/NvidiaReflexMode_Off,ST_GameSettings,NvidiaReflexMode_Off,Off,Disattivato
ST_GameSettings/OptionValueTextFalse,ST_GameSettings,OptionValueTextFalse,False,False
ST_GameSettings/OptionValueTextTrue,ST_GameSettings,OptionValueTextTrue,True,True
ST_GameSettings/Option_AllowMegalights_DisplayDescription,ST_GameSettings,Option_AllowMegalights_DisplayDescription,Enable or disable Megalights lighting system across the game.,Enable or disable Megalights lighting system across the game.
ST_GameSettings/Option_AllowMegalights_DisplayName,ST_GameSettings,Option_AllowMegalights_DisplayName,Allow Megalights,Allow Megalights
ST_GameSettings/Option_AmbienceVolume_DisplayDescription,ST_GameSettings,Option_AmbienceVolume_DisplayDescription,Ambience Volume Description,Ambience Volume Description
ST_GameSettings/Option_AmbienceVolume_DisplayName,ST_GameSettings,Option_AmbienceVolume_DisplayName,Ambience Volume,Ambience Volume
ST_GameSettings/Option_AntiAliasingMethod_DisplayDescription,ST_GameSettings,Option_AntiAliasingMethod_DisplayDescription,"Choose the anti-aliasing technique to use. Anit-aliasing reduces jagged edges and shimmering, improving visual smoothness at some performance cost.","Choose the anti-aliasing technique to use. Anit-aliasing reduces jagged edges and shimmering, improving visual smoothness at some performance cost."
ST_GameSettings/Option_AntiAliasingMethod_DisplayName,ST_GameSettings,Option_AntiAliasingMethod_DisplayName,AntiAliasing Method,AntiAliasing Method
ST_GameSettings/Option_AntiAliasingQuality_DisplayDescription,ST_GameSettings,Option_AntiAliasingQuality_DisplayDescription,AntiAliasing Quality Description,Regola la qualità dell'anti-aliasing per smussare i bordi seghettati.
ST_GameSettings/Option_AntiAliasingQuality_DisplayName,ST_GameSettings,Option_AntiAliasingQuality_DisplayName,AntiAliasing Quality,Qualità anti-aliasing
ST_GameSettings/Option_AutoEquipConsumables_DisplayDescription,ST_GameSettings,Option_AutoEquipConsumables_DisplayDescription,Forces all consumables to automatically be equipped in free belt slots upon pickup.,Forces all consumables to automatically be equipped in free belt slots upon pickup.
ST_GameSettings/Option_AutoEquipConsumables_DisplayName,ST_GameSettings,Option_AutoEquipConsumables_DisplayName,Auto Equip Consumables,Auto Equip Consumables
ST_GameSettings/Option_AutoEquipGenericItems_DisplayDescription,ST_GameSettings,Option_AutoEquipGenericItems_DisplayDescription,Forces generic items to automatically be equipped in free equipment slots upon pickup.,Forces generic items to automatically be equipped in free equipment slots upon pickup.
ST_GameSettings/Option_AutoEquipGenericItems_DisplayName,ST_GameSettings,Option_AutoEquipGenericItems_DisplayName,Auto Equip Items,Auto Equip Items
ST_GameSettings/Option_AutoEquipIngredients_DisplayDescription,ST_GameSettings,Option_AutoEquipIngredients_DisplayDescription,Forces ingredients to automatically be equipped in free belt equipment slots.,Forces ingredients to automatically be equipped in free belt equipment slots.
ST_GameSettings/Option_AutoEquipIngredients_DisplayName,ST_GameSettings,Option_AutoEquipIngredients_DisplayName,Auto Equip Ingredients,Auto Equip Ingredients
ST_GameSettings/Option_Brightness_DisplayDescription,ST_GameSettings,Option_Brightness_DisplayDescription,Adjust the game's overall brightness.,Adjust the game's overall brightness.
ST_GameSettings/Option_Brightness_DisplayName,ST_GameSettings,Option_Brightness_DisplayName,Brightness,Brightness
ST_GameSettings/Option_CameraShakeIntensity_DisplayDescription,ST_GameSettings,Option_CameraShakeIntensity_DisplayDescription,Scale how intense camera shakes will be.,Scale how intense camera shakes will be.
ST_GameSettings/Option_CameraShakeIntensity_DisplayName,ST_GameSettings,Option_CameraShakeIntensity_DisplayName,Camera Shake Intensity,Camera Shake Intensity
